Weight, Height
109000.0,1.94
91173.6,1.8542
69854.4,1.7526
77565.6,1.8542
98000.0,1.94
87998.4,1.8542
105000.0,2.0066
115668.0,2.0827999999999998
88452.0,1.8542
81648.0,1.8288
88904.10452,1.8288
82000.0,1.78
54432.0,1.524
95254.3977,1.524
82553.81134,1.7526
85000.0,1.96
78019.2,1.7526
89000.0,1.81
102000.0,1.85
99792.0,1.9558
83000.0,1.82
90720.0,1.8288
92000.0,1.89
112000.0,1.98
92000.0,1.83
79000.0,1.86
83462.4,1.8034
90720.0,2.032
116000.0,1.94
80000.0,1.86
80000.0,1.9
86184.0,1.8034
77112.0,1.8034
91627.2,1.8796
86000.0,1.78
94802.4,2.0066
102000.0,1.83
72576.0,1.8288
86184.0,1.8542
102000.0,1.88
81648.0,1.8034
90720.0,1.905
117936.0,1.9557999999999998
97977.6,1.8542
76203.51816,1.8542
95256.0,1.9558
103000.0,1.89
102060.0,1.905
88452.0,1.9558
105000.0,2.1
84000.0,1.72
97000.0,1.93
85000.0,1.8
115000.0,1.83
93000.0,1.82
83916.0,1.8796
73000.0,1.84
108000.0,1.85
58060.8,1.9
82000.0,1.9
88452.0,1.8796
107954.98406,1.8288
95709.6,1.8288
89000.0,1.79
72576.0,1.8034
96000.0,1.75
83916.0,1.778
96000.0,1.84
104000.0,1.8542
110000.0,1.8796
93895.2,2.0066
130000.0,1.524
54000.0,1.65
79380.0,1.778
92080.8,1.8288
92988.0,1.905
68040.0,1.7018
124740.0,2.1082
90000.0,1.86
83462.4,1.8542
90000.0,1.86
86184.0,1.8796
107000.0,1.778
57200.0,1.67
77112.0,1.7526
104000.0,1.87
90720.0,1.905
81648.0,1.8542
86184.0,1.8542
97070.4,1.8796
81000.0,1.778
81648.0,1.8288
77112.0,1.778
92988.0,1.8542
88452.0,1.8034
83000.0,1.72
94802.4,1.778
85000.0,1.8
92988.0,1.8542
91000.0,1.86
79380.0,1.7272
72000.0,1.83
92988.0,1.8796
89000.0,1.78
88452.0,1.8796
82101.6,1.778
82000.0,1.82
113000.0,1.78
113000.0,2.01
70000.0,1.8
95256.0,1.8796
102000.0,1.905
113400.0,2.0574
88905.6,1.778
97524.0,1.905
79000.0,0.0
95000.0,1.95
112000.0,1.91
90720.0,1.8288
101152.8,1.8796
108864.0,1.9304
78000.0,1.91
77112.0,1.8542
98884.8,1.7526
83916.0,1.8288
107000.0,1.8
82000.0,1.85
98431.2,1.905
82101.6,1.8796
80000.0,1.78
105000.0,1.86
92988.0,1.9304
81648.0,1.8288
95256.0,1.8542
95256.0,1.8542
92988.0,1.8542
81648.0,1.8034
128000.0,1.95
120204.0,1.9304
102060.0,1.7526
99792.0,1.8796
110224.8,2.1082
104000.0,1.94
83916.0,1.8796
104000.0,2.032
102000.0,1.86
90720.0,1.7526
107956.8,1.8796
92534.4,1.8796
73000.0,1.75
63000.0,1.75
79833.6,1.8034
110000.0,1.98
115000.0,1.83
80740.8,1.905
98000.0,1.83
76203.51816,1.7018
87998.4,1.8288
107956.8,2.0066
87000.0,1.77
104328.0,1.9812
112000.0,1.73
96000.0,1.8288
79300.0,1.95
92988.0,1.8796
149688.0,2.0066
90266.4,2.032
99792.0,1.905
87000.0,1.88
108000.0,1.93
81648.0,1.905
95000.0,1.88
136080.0,1.905
92080.8,1.905
79380.0,1.778
140616.0,1.9558
93000.0,2.0
88000.0,1.78
115000.0,2.0
77565.6,1.8288
125000.0,1.9
73000.0,1.8
105000.0,2.02
105235.2,2.2098
69000.0,1.76
98000.0,1.97
83916.0,1.9812
76000.0,1.9
72000.0,1.84
77112.0,1.85
80000.0,1.9
73000.0,1.8
75000.0,1.88
74844.0,1.8288
62000.0,1.7
84000.0,1.92
97524.0,1.9558
84000.0,1.8
83000.0,1.98
72000.0,1.83
80000.0,1.8
70000.0,1.75
69000.0,1.78
82000.0,1.9
100000.0,2.07
62143.2,1.6764000000000001
98884.8,2.032
121000.0,2.08
86000.0,1.81
120000.0,1.97
82000.0,1.7
110000.0,1.93
97000.0,1.86
117000.0,1.8
84000.0,1.85
88000.0,2.07
101000.0,2.03
90000.0,2.07
117000.0,2.08
120000.0,2.07
113400.0,2.1336
84823.2,1.8542
83008.8,1.778
95256.0,1.9558
100000.0,1.82
106142.4,2.0574
97524.0,2.00025
81000.0,1.84
73029.6,1.8288
90000.0,1.9
67000.0,1.8
91173.6,1.8034
65000.0,1.74
90000.0,1.93
88905.6,1.9812
80000.0,1.94
82555.2,1.8034
125000.0,2.03
106000.0,1.86
96000.0,2.05
83916.0,1.8796
68000.0,1.73
84823.2,1.8542
82000.0,1.8
71215.2,1.7526
74844.0,1.7526
73029.6,1.7018
64000.0,1.77
54000.0,1.69
69854.4,1.7526
77112.0,1.8034
95000.0,1.93
51000.0,1.64
79833.6,1.778
98000.0,2.0
67132.8,1.7526
78926.4,1.8034
95000.0,2.05
66225.6,1.7272
73000.0,1.81
72000.0,1.524
93895.2,1.8796
103000.0,1.89
71000.0,1.88
94802.4,1.905
65000.0,1.524
70000.0,1.77
69854.4,1.7272
89359.2,1.8034
67132.8,1.73736
63504.0,1.7272
83916.0,1.8034
80000.0,1.8
82000.0,1.79
78000.0,1.88
74844.0,1.7272
80740.8,1.905
